"compound_name_user","compound_name_comptox","ptx_code","purpose_analysis","formula","nomination_source","mw_g_mol","cas_neutral","dtxsid_comptox_neutral","inchikey_neutral","smiles_canonical_neutral","smiles_flag","solubility_dmso_mol_liter","source_solubility_dmso","solubility_dmso_10_mmol_liter","solubility_h2o_mol_liter","solubility_h2o_mg_liter","source_solubility_h2o","solubility_h2o_ph74_mol_liter_acd","solubility_h2o_ph74_mg_liter_acd","density_kg_L","source_density","henry_coefficient_atm_m3_mol","kaw_kh_rt","source_henry","stability","medium_air_partition","source_medium_air","storage_conditions","source_storage","moa","source_moa","mie","source_mie","ke_selected","ao","source_ke_ao","logd_ph74_acd","pka_acid","pka_base","neutral_form_ph74","negative_form_ph74","positive_form_ph74","zwitterionic_form_ph74","double_negative_form_ph74","double_positive_form_ph74","source_pka","log_kow_liter_liter_exp","source_kow_exp","log_kow_liter_liter_pred_cons","log_kow_liter_liter_pred_all","source_kow_pred","log_kow_liter_liter_used","source_kow_used","log_klipw_lserd_liter_liter","log_klipw_liter_liter","source_klipw","log_dlipw_ph74_liter_liter","source_dlipw","log_kbsaw_neutral_liter_liter","source_kbsaw","log_kspw_neutral_liter_liter","log_dspw_ph74_liter_liter","baseline_d_rerio_micromole_liter","baseline_d_magna_micromole_liter","baseline_cells_generic_micromole_liter_ec10","baseline_c_elegans_micromole_liter","baseline_x_laevis_micromole_liter","baseline_d_melanogaster_micromole_liter","baseline_max_micromole_liter","c_elegans_lec_size_micromole_liter","c_elegans_ac50_micromole_liter","source_c_elegans","zf_embryo_effect_micromole_liter","zf_endpoint","are_bla_mole_liter_IC10","are_bla_cytotox_mole_liter_ecir15","gr_bla_mole_liter_tox21","gr_bla_cytotox_mole_liter_tox21","cytotox_other_reports","cytotox_other_source","incompatibilities","analytical_method","analysis_limitation","analysis_details","analysis_simple","analysis_source","effect_concentration_expected_micromole_liter","purchased_as","cas_purchased","mw_purchased","amount_ordered_mg_5l","comments","comment_origin","reasons_exclude","solubility_tested_zf_medium_mmole_liter","solubility_tested_zf_medium_mg_liter","solubility_concentration_type","solubility_tested_cellculture_mmole_liter","solubility_test_method","stock_type","ph_adjust","reason_ph_adjust","method_ph_adjust","volume_ph_adjust_approx","buffer_requirement","stability_glass","stability_plastic","stability_method","source_stability","shsy5y_cytotox_ic10_mol_liter","neurite_outgrowth_inhibition_ec10_mol_liter","sr_cytotoxicity_neurite_outgrowth","log_ac10_neuro","log_ac50_neuro","tox21_assay_neurotoxicity_braun_2023","drugbank_name","drugbank_id","drugbank_mechanism_of_action","flag_physchem","type_vials_shipped","amount_shipped_g","form_shipped","source_are","concentration_dmso_stock_mmole_liter"
"PCB28","PCB28","PTX073","steatosis/liver tox case study","C12H7Cl3",,"257.54","7012-37-5","DTXSID2038310","BZTYNSQSZHARAZ-UHFFFAOYSA-N","ClC1=CC=C(C=C1)C1=C(Cl)C=C(Cl)C=C1",,,,,"8.33E-7","0.21453082","COMPTOX",,,"1.34","COMPTOX","2.0E-4","0.008179379","COMPTOX",,,,,,"Steatohepatitis, Cirrhosis 2; Cholangiocarcinoma, HCC 3; Cholestasis 4,5","ONTOX_Riskhunt3r",,,,,,,,,"1",,,,,,,"5.62",,,,,"5.62","experimental  PhysPropNCCT","5.53",,"  (LSERD eq.1)","5.7","Quinn et al. 2014","4.72",,"4.01","4.01","0.3775721909254164","0.7014552984199713","12.434358871018395","1.7100153150902826","6.315387453743851","51.66542425669497","12.434358871018395",,,,,,,,,,,,,,,,,"Consider despite elevated KAW, DlipW",,,,,,,,,"0.066941058","17.24"," Baseline x1.89fold","No","Visual","DMSO","no","/","/","/","/","0.51","<LOD","LC-MS/MS",,,,,,,,,,,,,,,,"66.9410577"
"2-ethylimidazole","1H-Imidazole, 2-ethyl-","PTX074","Grouping exercise imidazole","C5H8N2",,"96.133","1072-62-4","DTXSID5061457","PQAMFDRRWURCFQ-UHFFFAOYSA-N","CCC1=NC=CN1",,,,"Soluble","2.60368","0.25029956944","COMPTOX (OPERA)","10.471285480508996","1.0066360870977713","1.035","COMPTOX",,"6.51459E-7","COMPTOX",,,,,,,,,,,,,"-0.98","14.2","7.9","0.240253073352042",,"0.759746926647958",,,,"ACD pKa/GALAS",,,"0.4826535","0.161, 0.197614, 0.472, 1.1","ACD/Labs, OPERA, ACD/Labs Consensus, EPISUITE (COMPTOX)","0.786","mean of ACD consensus and KOWWIN",,,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","0.41386","Kow-QSAR (?mw=1)","1.31",,"0.18378","-0.31622","64606.854923521125","15157.752098396619","20301.492390854753","32716.99442549609","16819.718382410425","80543.14061009238","64606.854923521125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1-ethyl-1H-imidazole","1-Ethyl-1H-imidazole","PTX075","Grouping exercise imidazole","C5H8N2",,"96.133","7098-07-9","DTXSID10221209","IWDFHWZHHOSSGR-UHFFFAOYSA-N","CCN1C=CN=C1",,,,"Soluble","10.2005","0.9806046664999999","COMPTOX (OPERA)","2.6915348039269156","0.25874531530590617","1.044","COMPTOX",,"9.28574E-6","COMPTOX",,,,,,,,,,,,,"0.15",,"7.2","0.613136820153143",,"0.386863179846857",,,,"ACD pKa/GALAS",,,"0.7253550000000001","0.322, 1.02942, 0.45, 1.1","ACD/Labs, OPERA, ACD/Labs Consensus, EPISUITE (COMPTOX)","0.775","mean of ACD consensus and KOWWIN",,,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","0.716879772801763","Kow-QSAR (?mw=1)","1.31",,"0.17575","-0.0101202271982371","32380.90816352852","8553.790047400567","9918.331103437975","18592.054510493148","10701.92510222029","52845.087000231644","32380.90816352852",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1-Vinylimidazole","1H-Imidazole, 1-ethenyl-","PTX076","Grouping exercise imidazole","C5H6N2",,"94.117","1072-63-5","DTXSID0061458","OSSNTDFYBPYIEC-UHFFFAOYSA-N","C=CN1C=CN=C1",,,,"Soluble","0.725103","0.06824451905100001","COMPTOX (OPERA)","0.29512092266663853","0.02777589587861602","1.034","COMPTOX",,"9.28856E-6","COMPTOX",,,,,,,,,,,,,"0.37",,"6.6","0.86319311139679",,"0.13680688860321",,,,"ACD pKa/GALAS",,,"0.72276275","0.39, 0.96, 0.736, 0.805051","ACD/Labs, EPISUITE, ACD/Labs Consensus, OPERA (COMPTOX)","0.848","mean of ACD consensus and KOWWIN",,,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","0.919417094169074","Kow-QSAR (?mw=1)","1.31",,"0.22904","0.171977094169073","20406.901901235844","5835.498782440771","6317.892324644012","12743.013808755242","7910.751148804972","39872.372238057265","20406.901901235844",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trichlorfon","Trichlorfon","PTX077","DNT","C4H8Cl3O4P","Konstanz positive compounds","257.43","52-68-6","DTXSID0021389","NFACJZMKEDPNKN-UHFFFAOYSA-N","COP(=O)(OC)C(O)C(Cl)(Cl)Cl",,,,"not assessed","0.515308",,"COMPTOX (OPERA)","0.398107171",,"1.561","COMPTOX",,"1.47E-7","COMPTOX",,,,,,"Stimulation of Cholinergic Neurotransmission, Delayed Neuropathy","EFSA Appendix D (Masjosthusman et al. 2020)","AChE inhibition leads to acetylcholine accumulation in the CNS, Inhibits neurotoxic esterase leading to delayed neuropathy","EFSA Appendix D (Masjosthusman et al. 2020)",,,,"0.48","7.7",,"0.666139424583122","0.333860575416878",,,,,"ACD pKa/GALAS","0.51",,,,,"0.51","experimental  PhysPropNCCT","0.43",,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","0.27480353947777","LSERD, eq. 1  (?mw=1)","1.31",,"-0.18","-0.33519646052223","88704.26381947553","19708.841533727977","28701.658724407782","42404.225271436524","20697.948709940312","97727.92149150079","88704.26381947553",,,,,,"no cytotoxicity","4.55E-5",,,,,,,,,,,,,,,,,,,"108.0713204","27820.8"," Baseline x2fold","No","Visual","Water","yes",,,,"HEPES 10 mM",,,,,,,,,,,,,,,,,,,
"5,5-Diphenylhydantoin","5,5-Diphenylhydantoin","PTX078","DNT","C15H12N2O2","Konstanz positive compounds","252.273","57-41-0","DTXSID8020541","CXOFVDLJLONNDW-UHFFFAOYSA-N","O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1",,,,"not assessed","1.07E-4",,"COMPTOX (OPERA)","0.000295121",,"1.293","COMPTOX",,"6.0E-10","COMPTOX",,,,,,"Phenytoin is believed to protect against seizures by causing voltage-dependent block of voltage gated sodium channels.","Wikipedia",,,,,,"2.48","7.84",,"0.733633702413807","0.266366297586193",,,,,"UFZ; Sirius T3","2.47",,,,,"2.47","experimental  PhysPropNCCT",,,"Kow QSAR","2.49566804345901","Kow-QSAR (?mw=1)","2.1737",,"1.4131","1.294068043459","561.4209787366976","297.54469009485786","361.2639312834705","673.7656792304779","753.0210346925461","4452.628909842677","753.0210346925461",,,,,,"no cytotoxicity","not active",,,,,,,,,,,,,,,,,,,"0.073993914","18.66666667"," Baseline x0.09fold","No","Visual","Water","no",,,"Need some prolonged stirring","/",,,,,,,,,,,,,,,,,,,
"Tebuconazole","Tebuconazole","PTX079","DNT","C16H22ClN3O","Konstanz positive compounds","307.82","107534-96-3","DTXSID9032113","PXMNMQRDXWABCY-UHFFFAOYSA-N","CC(C)(C)C(O)(CCC1=CC=C(Cl)C=C1)CN1C=NC=N1",,,,"not assessed","1.17E-4",,"COMPTOX (OPERA)","0.000114815",,"1.249","COMPTOX",,"3.1E-7","COMPTOX",,,,,,"Discussed as potential neurotoxic, positive hits in the assay battery of Blum et al. 2023","Blum et al. 2023",,,,,,"3.58","13.7","1.8","0.999997488119878",,"2.51188012195198E-6",,,,"ACD pKa/GALAS","3.7",,,,,"3.7","experimental  PhysPropNCCT",,,"Kow QSAR","3.31","LSERD, cited in Escher 2017","3.047",,"2.311","2.31099901819278","87.72027812959956","63.94402945292836","119.02456586422811","147.53667784066045","223.41894669145563","1434.696371727971","223.41894669145563",,,,,,"4.67E-5","not active",,,,,,,,,,,,,,,,,,,"0.117","36.01494"," Baseline x0.53fold","No","Visual","DMSO","no","/","/","/","/",,,,,,,,,,,,,,,,,,,"117"
"Hexachlorophene","Hexachlorophene","PTX080","DNT","C13H6Cl6O2","Konstanz positive compounds","406.89","70-30-4","DTXSID6020690","ACGUYXCXAPNIKK-UHFFFAOYSA-N","OC1=C(CC2=C(Cl)C(Cl)=CC(Cl)=C2O)C(Cl)=C(Cl)C=C1Cl",,,,"not assessed","3.45E-4",,"COMPTOX (OPERA)","1.74e-06",,"1.802","COMPTOX",,"3.63E-11","COMPTOX",,,,,," Myelin Toxicity","EFSA Appendix D (Masjosthusman et al. 2020)","Binding to cell membranes, and osmotic imbalance results into vacuolization, edema and demyelination","EFSA Appendix D (Masjosthusman et al. 2020)",,,,"5.84","5.66;9.95",,"0.0178224625576473","0.97941716482243",,,"0.00276801297528712",,"UFZ; Sirius T3","7.53844",,,,,"7.53844","Hansch,C et al. (1995)",,,"Kow QSAR","6.79843292966722","Kow-QSAR (?mw=1)","5.7722924",,"2.11","1.17460852966722","0.03087104989177029","0.08816272346861374","6.294919474455034","0.22042930277705208","1.2263528976490183","11.21363744327492","6.294919474455034",,,,,,,,,,,,,,,,,,,,,,,,,,"0.04267266","17.36307845"," Baseline x1.99fold","No","Visual","DMSO","no","/","/","/","/",,,,,,,,,,,,,,,,,,,"42.67265956"
"Triethyltin bromide","Triethyltin bromide","PTX081","DNT","C6H15BrSn","Konstanz positive compounds","285.8","2767-54-6","DTXSID9040712","KQPIFPBKXYBDGV-UHFFFAOYSA-M","CC[Sn](Br)(CC)CC",,,,"not assessed - OCHEM server down","OCHEM",,"COMPTOX (OPERA)","5.62e-05","1.61e-05",,"COMPTOX",,,"COMPTOX",,,,,,"Swelling of myelin due to splitting of the intraperiod line (Aleu et al. 1963) is a readily differentiable morphological feature, and is clearly relevant to the pathophysiology",,,,,,,"1.88","6.81",,"0.204480099687258","0.795519900312742",,,,,"R. Stuart Tobias and M. Yasuda
The Journal of Physical Chemistry 1964 68 (7), 1820-1828
DOI: 10.1021/j100789a025  ",,,,,,,,,,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)",,,"1.31",,"-0.39","-0.936632590937492",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25.19244227","7200"," Baseline x3.24fold","No","Visual","Water","No","/","/","/","/",,,,,,,,,,,,,,"kaw>1E-4kaw>1E-4",,,,,
"PFOA","Perfluorooctanoic acid","PTX082","DNT","C8HF15O2","Konstanz positive compounds","414.07","335-67-1","DTXSID8031865","SNGREZUHAYWORS-UHFFFAOYSA-N","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F",,,,"not assessed","0.0332134",,"COMPTOX (OPERA)","0.021379621",,,,,"2.0E-10","COMPTOX",,,,,,,,,,,,,"4","2.4",,"9.99990000099999E-6","0.999990000099999",,,,,"ACD pKa/GALAS","3.6",,,,,"3.6","Danish_EPA_SCPFAS_Report_2015",,,"Nonspecific binding, Qin 2023","3.52","Ebert et al.  2020","3.7",,"2.238","1.23803908435376","54.35005651294472","43.01302633821366","92.38578553051168","99.72407117415477","163.32023644640208","1071.3219422656389","163.32023644640208",,,,,,,,,,,,,,,,,,,,,,,,,,"11.19011439","4622.222222"," Baseline x0.01fold","No","Visual","Water","yes","Acid pH","NaOH 0.1N","/","/",,,,,,,,,,,,,,,,,,,
"all-trans Retinoic acid","all-trans Retinoic acid","PTX083","DNT","C20H28O2","Konstanz positive compounds","300.442","302-79-4","DTXSID7021239","SHGAZHPCJJPHSC-YCNIQYBTSA-N","C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O",,,,"not assessed","1.06E-5",,"COMPTOX (OPERA)","0.011748976",,"0.999","COMPTOX",,"3.95E-5","COMPTOX",,,,,,,,,,,,,"4.19","6.03",,"0.0409126998966793","0.959087300103321",,,,,"UFZ; Sirius T3","6.3",,,,,"6.3","experimental  PhysPropNCCT",,,"Kow QSAR","5.61915412488023","Kow-QSAR (?mw=1)","4.893",,"4.209","3.34515412488023","0.45398072739009815","0.8171346326289823","13.169263168921582","1.9883148625169138","7.125053457198134","57.81371917446282","13.169263168921582",,,,,,,,,,,,,,,,,,,,,,,,,,"Not measured","Not measured"," Baseline xfold",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Haloperidol","Haloperidol","PTX084","DNT","C21H23ClFNO2","Konstanz positive compounds","375.87","52-86-8","DTXSID4034150","LNEPOXFFQSENCJ-UHFFFAOYSA-N","OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1",,,,"not assessed","3.72E-5",,"COMPTOX (OPERA)","0.000794328",,"1.253","COMPTOX",,"4.95E-11","COMPTOX",,,,,,"Inhibition of Adrenergic Neurotransmission, Inhibition of Serotoninergic Neurotransmission, Inhibition of dopaminergic Neurotransmission","EFSA Appendix D (Masjosthusman et al. 2020)","Interference with monoamine neurotransmitter transporters (noradrenaline), Interference with monoamine neurotransmitter transporters (serotonin), Interference with monoamine neurotransmitter transporters (dopamine)","EFSA Appendix D (Masjosthusman et al. 2020)",,,,"2.18","13.7","8.7","0.047726721034204",,"0.952273278965796",,,,"ACD pKa/GALAS","4.28",,,,,"4.28","Yalkowsky et al. Chemosphere 2002, 48, 487–509","3.67",,"  (LSERD eq.1)","2.82519646052223","LSERD, eq. 1  (?mw=1)","3.06",,"2.93","2.08519646052223","264.8838646167124","159.71249800322045","224.6361905515909","364.41048731511603","460.54565951393937","2815.6673045052944","460.54565951393937",,,,,,,,,,,,,,,,,,,,,,,,,,"Not measured","Not measured"," Baseline xNot measuredfold",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chlorpromazine","Chlorpromazine","PTX085","DNT","C17H19ClN2S","Konstanz positive compounds","318.86","50-53-3","DTXSID0022808","ZPEIMTDSQAKGNT-UHFFFAOYSA-N","CN(C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2",,,,"not assessed","7.02E-6",,"COMPTOX (OPERA)","0.000346737",,"1.185","COMPTOX",,"8.8E-9","COMPTOX",,,,,,"Chlorpromazine is a very effective antagonist of D2 dopamine receptors and similar receptors, such as D3 and D5.","Wikipedia",,,,,,"3.26",,"9.2","0.0156016622418296",,"0.98439833775817",,,,"ACD pKa/GALAS","5.41",,,,,"5.41","experimental  PhysPropNCCT","5.34",,"  (LSERD eq.1)","4.39706290583093","LSERD, eq. 1  (?mw=1)","4.34",,"4.03","3.08706290583093","7.360506884196731","8.211233784204412","36.366600553915184","19.425805956656838","44.12688156150706","316.3544915472572","44.12688156150706",,,,,,,,,,,,,,,,,,,"Chlorpromazine hydrochloride","69-09-0"," 355.32",,"Use MW of purchased hydrochloride for calculation of mg/L exposure solutions.",,,"0.347048862","110.66"," Baseline x0fold","No","Visual","Water","yes",,,,,,,,,,,,,,,,,,,,,,,
"Carbamazepine","Carbamazepine","PTX086","DNT","C15H12N2O","PARC-DNT based on ECVAM DNT List, Mundy et al 2015","236.274","298-46-4","DTXSID4022731","FFGPTBGBLSHEPO-UHFFFAOYSA-N","NC(=O)N1C2=CC=CC=C2C=CC2=C1C=CC=C2",,,,"Soluble","4.9E-4",,"COMPTOX (OPERA)","0.000331131",,"1.224","COMPTOX",,"2.0E-10","COMPTOX",,,,,,"Voltate gated Na channels, anticonvulsum",,,,,,,"2.67","14.3","0.1","0.999999949881279",,"5.01187208508407E-8",,,,"ACD pKa/GALAS","2.45",,,,,"2.45","experimental  PhysPropNCCT","2.43",,"  (LSERD eq.1)","3.1","LSERD, cited in Escher 2017","2.2",,"1.58","1.57999998041034","141.57937799570826","95.0604793656281","155.33116679703755","218.2729911843001","305.6328280365966","1921.3213114037244","305.6328280365966",,,,,,"1.52E-4","not active",,,,,,,,,,,,,,,,,,,"0.490627813","115.9225959"," Baseline x1.54fold","No","Visual","DMSO","no","/","/","/","/",,,,,,,,,,,,,,,,,,,"490.627813"
"Imidacloprid","Imidacloprid","PTX087","DNT","C9H10ClN5O2","PARC-DNT based on contribution to neurite outgrowth EQchem in surface water, WWTP samples (Lee et al. 2022)","255.66","138261-41-3","DTXSID5032442","YWTYJOPNNQFBPC-UHFFFAOYSA-N","[O-][N+](=O)\N=C1/NCCN1CC1=CN=C(Cl)C=C1","N+",,,,"0.00237766",,"COMPTOX (OPERA)","0.00676083",,"1.597","COMPTOX",,"2.0E-10","COMPTOX",,,,,,"Neonicotinoid",,,,,,,"0.2","11.1","0.5","1",,,,,,"ACD pKa/GALAS","0.57",,,,,"0.57","experimental  PhysPropNCCT",,,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","0.6957","Kow-QSAR (?mw=1)","1.31",,"0.0261","0.0260999999999999","33982.63102030866","8902.78734920961","10410.38285610877","19341.181481200136","11045.525942088454","54424.84489224702","33982.63102030866",,,,,,"5.98E-4","not active",,,,,,,,,,,,,,,,,,,"3.567628882","912.1"," Baseline x0.1fold","No","Visual","Water","no","/","/","/","/",,,,,,"0.000213",,,,,,,,,,,,,
"Fipronil","Fipronil","PTX088","DNT","C12H4Cl2F6N4OS","PARC-DNT based on contribution to neurite outgrowth EQchem in WWTP samples (Lee et al. 2022)","437.14","120068-37-3","DTXSID4034609","ZOCSXAVNDGMNBV-UHFFFAOYSA-N","NC1=C(C(=NN1C1=C(Cl)C=C(C=C1Cl)C(F)(F)F)C#N)S(=O)C(F)(F)F",,,,,"6.17E-6",,"COMPTOX (OPERA)","2.29e-06",,"1.913","COMPTOX",,"9.2E-9","COMPTOX",,,,,,"Inhibition of GABAergic Neurotransmission","EFSA Appendix D (Masjosthusman et al. 2020)","Reduction of inhibitory GABAergic neurotransmission by blocking of GABA(A)R activity >> increased excitatory activity in neuronal network >>  seizures and/or convulsions","EFSA Appendix D (Masjosthusman et al. 2020)",,,,"4.76",,,"1",,,,,,,"4.0",,,,,"4.0","experimental  PhysPropNCCT",,,"Kow QSAR","4.16","Kow-QSAR (?mw=1)","3.26",,"2.53","2.53","12.635720185226539","12.846948998311943","45.9215065258715","30.22734480038649","62.85212998468029","439.9061159995185","62.85212998468029",,,,,,"2.77E-5","not active",,,,,,,,,,,,,,,,,,,"0.110948438","48.5"," Baseline x0.12fold","No","Visual","DMSO","no",,,,,,,,,"5.18e-05","4.28e-05","1.21",,,,,,,,,,,,"110.9484376"
"Thiamethoxam","Thiamethoxam","PTX089","DNT","C8H10ClN5O3S","PARC-DNT based on neurite outgrowth inhibiton (Lee et al. 2022)","291.71","153719-23-4","DTXSID2034962","NWWZPOKUUAIXIW-UHFFFAOYSA-N","CN1COCN(CC2=CN=C(Cl)S2)C1=N[N+]([O-])=O","N+",,,"Soluble","0.01393",,"COMPTOX (OPERA)","0.008912509",,"1.808","COMPTOX",,"2.33E-8","COMPTOX",,,,,,"Nictonergic acetylcholin receptors","Wikipedia",,,,,,"-1.16",,"2.3","1",,,,,,"ACD pKa/GALAS","0.04",,,,,"0.04","PP-LFER, Ulrich, N., Endo, S., Brown, T.N., Watanabe, N., Bronner, G., Abraham, M.H., Goss, K.-U., UFZ-LSER database v 3.2.1 [Internet], Leipzig, Germany, Helmholtz Centre for Environmental Research-UFZ. 2017 [accessed on 11.08.2023]. Available from http://www.ufz.de/lserd ","-0.25",,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","-0.25","LSERD, eq. 1  (?mw=1)","1.31",,"-0.85","-0.85","165958.69074375613","33113.11214825911","58884.3655355589","70794.5784384138","31188.895840939367","143218.78992735434","165958.69074375613",,,,,,"no cytotoxicity","not active",,,,,,,,,,,,,,,,,,,"4.456480751","1300"," Baseline x0.03fold","No","Visual","Water","no","/","/","/","/",,,,,,"0.000395",,,,,,,,,,,,,
"Azoxystrobin","Azoxystrobin","PTX090","DNT","C22H17N3O5","PARC-DNT based on contribution to neurite outgrowth EQchem in surface water, WWTP samples (Lee et al. 2022)","403.394","131860-33-8","DTXSID0032520","WFDXOXNFNRHQEC-GHRIWEEISA-N","CO\C=C(\C(=O)OC)C1=CC=CC=C1OC1=CC(OC2=CC=CC=C2C#N)=NC=N1",,,,,"1.57E-5",,"COMPTOX (OPERA)","8.91e-07",,"1.341","COMPTOX",,"3.4E-9","COMPTOX",,,,,,"Mitochondrial toxicity","Wikipedia",,,,,,"5.13",,"0.6","1",,,,,,"ACD pKa/GALAS","2.5",,,,,"2.5","experimental  PhysPropNCCT","2.35",,"  (LSERD eq.1)","2.03","LSERD, cited in Escher 2017","1.76",,"1.69","1.69","1622.9307911144329","716.8033065160522","755.412356352215","1605.8316006250082","1508.5510101684947","8509.028925593828","1622.9307911144329",,,,,,"1.97E-4","not active",,,,,,,,,,,,,,,,,,,"0.015617486","6.3"," Baseline x0.01fold","No","Visual","Water","yes","Acid pH","NaOH 0.1N","/","/",,,,,"3.79e-05","7.43e-06","5.11",,,,,,,,,,,,
"Camptothecin ","Camptothecin ","PTX091","DNT","C20H16N2O4","PARC-DNT based on ESNATS List","348.358","7689-03-04","DTXSID0030956","VSJKWCGYPAHWDS-FQEVSTJZSA-N","CC[C@@]1(O)C(=O)OCC2=C1C=C1N(CC3=CC4=C(C=CC=C4)N=C13)C2=O",,,,,"6.76E-4",,"COMPTOX (OPERA)","0.008317638",,"1.444","COMPTOX",,"1.6E-9","COMPTOX",,,,,,"Topoisomerase inhibiting alkaloide","Wikipedia",,,,,,"1.6","12.3","4.4","1",,,,,,"ACD pKa/GALAS","1.74",,,,,"1.74","experimental  PhysPropNCCT",,,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","1.8774","Kow-QSAR (?mw=1)","1.31",,"0.8802","0.8802","2298.1268668187868","956.1631451284463","979.6274044796629","2134.5483670748868","1894.282730610591","10520.83961386379","2298.1268668187868",,,,,,,,,,,,,,,,,,,,,,,,,,"Not measured","Not measured",,,,,,,,,"/",,,,,,,,"0.140197285","0.476052309",,,,,,,,,,
"Tetraethylthiuram disulfide","Tetraethylthiuram disulfide","PTX092","DNT","C10H20N2S4","PARC-DNT based on US NTP","296.52","97-77-8","DTXSID1021322","AUZONCFQVSMFAP-UHFFFAOYSA-N","CCN(CC)C(=S)SSC(=S)N(CC)CC",,,,"Soluble","1.17E-4",,"COMPTOX (OPERA)","7.76e-06",,"1.271","COMPTOX",,"4.18E-8","COMPTOX",,,,,,,,,,,,,"3.88",,"-1.6","1",,,,,,"ACD pKa/GALAS","3.88",,,,,"3.88","experimental  PhysPropNCCT",,,"Kow QSAR","4.0388","Kow-QSAR (?mw=1)","3.1748",,"2.4424","2.4424","16.656663033721582","16.15042666158865","52.00495912395353","37.89413517600684","75.3108587888746","520.6726912838869","75.3108587888746",,,,,,,,,,,,,,,,,,,"Tetraethylthiuram","97-77-8","296.52",,,,,"0.234092872","69.41321845"," Baseline x2fold","No","Visual","DMSO","no","/","/","/","/",,,,,,,,"0.228742458","0.911690159",,,,,,,,,,"234.0928722"
"Mebendazole","Mebendazole","PTX093","DNT","C16H13N3O3","PARC-DNT based on contribution to neurite outgrowth EQchem in surface water, WWTP samples (Lee et al. 2022)","295.298","31431-39-7","DTXSID4040682","OPXLLQIJSORQAM-UHFFFAOYSA-N","COC(=O)NC1=NC2=C(N1)C=CC(=C2)C(=O)C1=CC=CC=C1",,,,"Soluble","1.25E-4",,"COMPTOX (OPERA)","1.41e-05",,"1.392","COMPTOX",,"2.0E-10","COMPTOX",,,,,,"Interaction with microtubuli","Wikipedia",,,,,,"2.8","6.45","3.64","0.100880859774874","0.899101609140954","1.75310841721725E-5","neutral iszwitterion",,,"Niu, L., et al. (2022). pH-Dependent Partitioning of Ionizable Organic Chemicals between the Silicone Polymer Polydimethylsiloxane (PDMS) and Water. ACS Environmental Au.","2.83",,,,,"2.83","experimental  PhysPropNCCT","3.34",,"  (LSERD eq.1)","2.62056192194381","LSERD, eq. 1  (?mw=1)","3.03",,"2.55","1.83056192194381","422.321991811632","235.03861754210175","300.41673699075267","533.7585480332876","624.9940381122753","3742.661926040802","624.9940381122753",,,,,,"no cytotoxicity","2.32E-5",,,,,,,,,,,,,,,,,,,"0.690827571","204"," Baseline x2.21fold","No","Visual","DMSO","no","/","/","/","/",,,,,"1.25e-05","1.07e-07","117.6",,,,,,,,,,,,"690.8275708"
"Citalopram","Citalopram","PTX094","DNT","C20H21FN2O","PARC-DNT based on contribution to neurite outgrowth EQchem in WWTP samples (Lee et al. 2022)","324.399","59729-33-8","DTXSID8022826","WSEQXVZVJXJVFP-UHFFFAOYSA-N","CN(C)CCCC1(OCC2=CC(=CC=C12)C#N)C1=CC=C(F)C=C1",,,,"Soluble","2.07E-5",,"COMPTOX (OPERA)","0.011481536",,"1.161","COMPTOX",,"3.94E-6","COMPTOX",,,,,,"Serotonin reuptake inhibition","Wikipedia",,,,,,"0.39",,"9.54","0.00719225630970168",,"0.992807743690298",,,,"UFZ; Sirius T3","3.58033",,,,,"3.58033","PP-LFER","3.27",,"  (LSERD eq.1)","1.53933923659652","LSERD for neutral and COSMO for charged","2.76",,"2.44","1.46723961612527","4966.542495135183","1810.263629569849","1803.3611141480662","4009.915476224683","3136.9541762052486","16836.007133769246","4966.542495135183",,,,,,"1.23E-4","3.58E-5",,,,,,,,,,,,,,,,,,,"Not measured","Not measured",,,,,,,,,,,,,,"4.74e-05","1.64e-05","2.89",,,,,,,,,,,,
